player1_id,player_name_full,fga,fg_pct,xfg_pct,fgoe,epaa_total,epaa_per100,fg_pct_26,xfg_pct_26,fgoe_26
1629627,Zion Williamson,508,0.566929134,0.52592946,0.040999673,32.52543122,6.402643941,0.587,0.537,0.05
1629628,RJ Barrett,982,0.468431772,0.500680138,-0.032248366,-24.89319646,-2.534948723,0.477,0.477,0
1629638,Nickeil Alexander-Walker,616,0.438311688,0.428959411,0.009352278,43.76255357,7.104310645,0.433,0.426,0.007
1629640,Keldon Johnson,770,0.481818182,0.492815134,-0.010996953,1.183674583,0.153723972,0.545,0.485,0.06
1629651,Nic Claxton,568,0.563380282,0.599337791,-0.03595751,-9.430227648,-1.660251346,0.59,0.599,-0.009
1629656,Quentin Grimes,823,0.466585662,0.455519484,0.011066178,58.68965277,7.131185027,0.439,0.463,-0.024
1629674,Neemias Queta,203,0.650246305,0.646072066,0.004174239,-1.149983796,-0.566494481,0.64,0.653,-0.013
1629675,Naz Reid,923,0.461538462,0.456357493,0.005180968,55.90260094,6.05661982,0.471,0.422,0.049
1630162,Anthony Edwards,1612,0.447270471,0.43479604,0.012474432,154.7552515,9.600201705,0.494,0.449,0.045
1630163,LaMelo Ball,1003,0.404785643,0.418112865,-0.013327222,45.62394347,4.548748102,0.396,0.399,-0.003
1630166,Deni Avdija,844,0.476303318,0.483085718,-0.006782401,34.03201033,4.032228712,0.463,0.473,-0.01
1630168,Onyeka Okongwu,684,0.567251462,0.575620941,-0.008369479,-1.962217002,-0.286873831,0.486,0.467,0.019
1630170,Devin Vassell,889,0.443194601,0.432785016,0.010409585,64.04758792,7.204453085,0.425,0.415,0.01
1630178,Tyrese Maxey,1091,0.437213566,0.449259406,-0.01204584,22.71883199,2.082386067,0.465,0.43,0.035
1630183,Jaden McDaniels,834,0.477218225,0.490990854,-0.013772629,4.445240793,0.533002493,0.514,0.49,0.024
1630193,Immanuel Quickley,438,0.420091324,0.408868214,0.011223111,32.94895583,7.522592656,0.445,0.429,0.016
1630202,Payton Pritchard,866,0.472286374,0.394371458,0.077914916,183.7227994,21.21510385,0.465,0.435,0.03
