player_idx,player1_id,player_name_full
222,1629651,Nic Claxton
223,1629652,Luguentz Dort
224,1629655,Daniel Gafford
225,1629656,Quentin Grimes
226,1629659,Talen Horton-Tucker
227,1629660,Ty Jerome
228,1629661,Cameron Johnson
229,1629669,Jaylen Nowell
230,1629673,Jordan Poole
231,1629674,Neemias Queta
232,1629675,Naz Reid
233,1629680,Matisse Thybulle
234,1629684,Grant Williams
235,1629723,John Konchar
236,1629726,Garrison Mathews
237,1629731,Dean Wade
238,1629750,Javonte Green
239,1630162,Anthony Edwards
240,1630163,LaMelo Ball
241,1630164,James Wiseman
242,1630165,Killian Hayes
243,1630166,Deni Avdija
244,1630167,Obi Toppin
245,1630168,Onyeka Okongwu
246,1630169,Tyrese Haliburton
247,1630170,Devin Vassell
248,1630171,Isaac Okoro
249,1630172,Patrick Williams
250,1630173,Precious Achiuwa
251,1630174,Aaron Nesmith
252,1630175,Cole Anthony
253,1630178,Tyrese Maxey
254,1630182,Josh Green
255,1630183,Jaden McDaniels
256,1630188,Jalen Smith
257,1630191,Isaiah Stewart
258,1630192,Zeke Nnaji
259,1630193,Immanuel Quickley
260,1630194,Paul Reed
261,1630198,Isaiah Joe
262,1630200,Tre Jones
263,1630201,Malachi Flynn
264,1630202,Payton Pritchard
265,1630205,Lamar Stevens
266,1630208,Nick Richards
267,1630214,Xavier Tillman
268,1630215,Jared Butler
269,1630217,Desmond Bane
270,1630222,Mason Jones
271,1630224,Jalen Green
272,1630227,Daishen Nix
273,1630228,Jonathan Kuminga
274,1630230,Naji Marshall
275,1630231,KJ Martin
276,1630241,Sam Merrill
277,1630243,Trevelin Queen
278,1630245,Ayo Dosunmu
279,1630249,Vít Krejčí
280,1630256,Jae'Sean Tate
281,1630264,Anthony Gill
282,1630283,Kylor Kelley
283,1630288,Jeff Dowtin Jr.
284,1630296,Braxton Key
285,1630311,Pat Spencer
286,1630314,Brandon Williams
287,1630322,Lindy Waters III
288,1630346,Matt Ryan
289,1630526,Jeremiah Robinson-Earl
290,1630527,Brandon Boston
291,1630528,Josh Christopher
292,1630529,Herbert Jones
293,1630530,Trey Murphy III
294,1630531,Jaden Springer
295,1630532,Franz Wagner
296,1630533,Ziaire Williams
297,1630534,Ochai Agbaji
298,1630537,Chris Duarte
299,1630538,Bones Hyland
300,1630539,Kai Jones
301,1630540,Miles McBride
302,1630541,Moses Moody
303,1630542,Marcus Bagley
304,1630543,Isaiah Jackson
305,1630544,Tre Mann
306,1630545,Terrence Shannon Jr.
307,1630548,Johnny Juzang
308,1630549,Day'Ron Sharpe
309,1630550,JT Thor
310,1630551,Justin Champagnie
311,1630552,Jalen Johnson
312,1630553,Keon Johnson
313,1630556,Kessler Edwards
314,1630557,Corey Kispert
315,1630558,Davion Mitchell
316,1630559,Austin Reaves
317,1630560,Cam Thomas
318,1630561,David Duke Jr.
319,1630567,Scottie Barnes
320,1630568,Luka Garza
321,1630570,Trendon Watford
322,1630572,Sandro Mamukelashvili
323,1630573,Sam Hauser
324,1630574,Ariel Hukporti
325,1630577,Julian Champagnie
326,1630578,Alperen Sengun
327,1630579,Jericho Sims
328,1630581,Josh Giddey
329,1630583,Santi Aldama
330,1630585,Marcus Garrett
331,1630590,Scotty Pippen Jr.
332,1630591,Jalen Suggs
333,1630592,Jalen Wilson
334,1630595,Cade Cunningham
335,1630596,Evan Mobley
336,1630598,Aaron Wiggins
337,1630600,Isaiah Mobley
338,1630604,E.J. Liddell
339,1630611,Gui Santos
340,1630618,D.J. Carton
341,1630623,Tyson Etienne
342,1630625,Dalano Banton
343,1630631,Jose Alvarado
344,1630639,A.J. Lawson
345,1630643,Jay Huff
346,1630644,Mac McClung
347,1630649,Stanley Umude
348,1630658,Colin Castleton
349,1630678,Terry Taylor
350,1630692,Jordan Goodwin
351,1630695,Micah Potter
352,1630696,Dru Smith
353,1630699,MarJon Beauchamp
354,1630700,Dyson Daniels
355,1630702,Jaden Hardy
356,1630703,Scoot Henderson
357,1630762,Phillip Wheeler
358,1630811,Keaton Wallace
359,1631093,Jaden Ivey
360,1631094,Paolo Banchero
361,1631095,Jabari Smith Jr.
362,1631096,Chet Holmgren
363,1631097,Bennedict Mathurin
364,1631098,Johnny Davis
365,1631099,Keegan Murray
366,1631101,Shaedon Sharpe
367,1631102,TyTy Washington Jr.
368,1631103,Malaki Branham
369,1631104,Blake Wesley
370,1631105,Jalen Duren
371,1631106,Tari Eason
372,1631107,Nikola Jović
373,1631108,Max Christie
374,1631109,Mark Williams
375,1631110,Jeremy Sochan
376,1631111,Wendell Moore Jr.
377,1631114,Jalen Williams
378,1631115,Orlando Robinson
379,1631116,Patrick Baldwin Jr.
380,1631117,Walker Kessler
381,1631119,Jaylin Williams
382,1631120,JD Davison
383,1631121,Bryce McGowens
384,1631123,Jamaree Bouyea
385,1631124,Julian Strawther
386,1631127,Harrison Ingram
387,1631128,Christian Braun
388,1631131,Oscar Tshiebwe
389,1631132,Christian Koloko
390,1631133,Jabari Walker
391,1631157,Ryan Rollins
392,1631159,Leonard Miller
393,1631165,Keon Ellis
394,1631166,Drew Timme
395,1631169,Josh Minott
396,1631170,Jaime Jaquez Jr.
397,1631172,Ousmane Dieng
398,1631197,Jared Rhoden
399,1631199,Ron Harper Jr.
400,1631200,Kris Murray
401,1631204,Marcus Sasser
402,1631207,Dalen Terry
403,1631209,Isaiah Wong
404,1631210,Jacob Toppin
405,1631212,Peyton Watson
406,1631213,Tyrese Martin
407,1631214,Alondes Williams
408,1631216,Caleb Houstan
409,1631217,Moussa Diabaté
410,1631218,Trayce Jackson-Davis
411,1631221,Collin Gillespie
412,1631222,Jake LaRavia
413,1631223,David Roddy
414,1631230,Dominick Barlow
415,1631232,Keion Brooks Jr.
416,1631243,Mouhamed Gueye
417,1631245,Quenton Jackson
418,1631246,Vince Williams Jr.
419,1631247,Luke Travers
420,1631248,Baylor Scheierman
421,1631250,Pete Nance
422,1631255,Karlo Matković
423,1631260,AJ Green
424,1631288,Jamal Cain
425,1631301,Jaylen Sims
426,1631303,Justin Minaya
427,1631306,Cole Swider
428,1631311,Lester Quinones
429,1631321,Sidy Cissoko
430,1631323,Simone Fontecchio
431,1631342,Daeqwon Plowden
432,1631386,Taze Moore
433,1631466,Nate Williams
434,1641705,Victor Wembanyama
435,1641706,Brandon Miller
436,1641707,Taylor Hendricks
437,1641708,Amen Thompson
438,1641709,Ausar Thompson
439,1641710,Anthony Black
440,1641711,Gradey Dick
441,1641712,Rayan Rupert
442,1641713,GG Jackson
443,1641715,Cam Whitmore
444,1641716,Jarace Walker
445,1641717,Cason Wallace
446,1641718,Keyonte George
447,1641720,Jalen Hood-Schifino
448,1641721,Maxwell Lewis
449,1641722,Jordan Hawkins
450,1641723,Kobe Bufkin
451,1641724,Jett Howard
452,1641725,Trey Alexander
453,1641726,Dereck Lively II
454,1641727,Dariq Whitehead
455,1641729,Brice Sensabaugh
456,1641730,Noah Clowney
457,1641731,Bilal Coulibaly
458,1641732,Colby Jones
459,1641733,Nick Smith Jr.
460,1641734,Emoni Bates
461,1641736,Reece Beekman
462,1641737,Adem Bona
463,1641738,Kobe Brown
464,1641739,Toumani Camara
465,1641740,Jaylen Clark
466,1641741,Ricky Council IV
467,1641744,Zach Edey
468,1641745,Adam Flagler
469,1641748,Andre Jackson Jr.
470,1641752,Bobi Klintman
471,1641753,Chris Livingston
472,1641755,Kevin McCullar Jr.
473,1641757,Jordan Miller
474,1641763,Julian Phillips
475,1641764,Brandin Podziemski
476,1641765,Olivier-Maxence Prosper
477,1641766,Adama Sanogo
478,1641767,Ben Sheppard
479,1641772,Nae'Qwan Tomlin
480,1641774,Tristan Vukcevic
481,1641775,Jordan Walsh
482,1641779,Jalen Bridges
483,1641783,Tristan da Silva
484,1641787,Tosan Evbuomwan
485,1641789,Jazian Gortman
486,1641790,PJ Hall
487,1641794,Dillon Jones
488,1641796,Pelle Larsson
489,1641798,Jaylen Martin
490,1641801,Emanuel Miller
491,1641803,Tristen Newton
492,1641809,Drew Peterson
493,1641810,Antonio Reeves
494,1641815,Isaiah Stevens
495,1641816,Hunter Tyson
496,1641817,Anton Watson
497,1641824,Matas Buzelis
498,1641842,Ronald Holland II
499,1641854,Craig Porter Jr.
500,1641857,Liam Robbins
501,1641871,Duop Reath
502,1641878,Damion Baugh
503,1641879,Yuri Collins
504,1641890,Tyler Smith
505,1641936,Miles Norris
506,1641989,Elijah Harkless
507,1641998,Trey Jemison III
508,1642024,Alex Reese
509,1642050,Jackson Rowe
510,1642258,Zaccharie Risacher
511,1642259,Alex Sarr
512,1642261,Dalton Knecht
513,1642262,Cody Williams
514,1642263,Reed Sheppard
515,1642264,Stephon Castle
516,1642265,Rob Dillingham
517,1642266,Ja'Kobe Walter
518,1642267,Bub Carrington
519,1642268,Isaiah Collier
520,1642269,Devin Carter
521,1642270,Donovan Clingan
522,1642271,Kyle Filipowski
523,1642272,Jared McCain
524,1642273,Kyshawn George
525,1642274,Yves Missi
526,1642275,Tidjane Salaün
527,1642276,Kel'el Ware
528,1642277,Johnny Furphy
529,1642278,Tyler Kolek
530,1642279,Ulrich Chomche
531,1642280,Trentyn Flowers
532,1642281,Jaylon Tyson
533,1642285,Cam Spencer
534,1642345,Oso Ighodaro
535,1642346,Ryan Dunn
536,1642347,Jamal Shead
537,1642348,Justin Edwards
538,1642349,Ajay Mitchell
539,1642352,Keshad Johnson
540,1642353,Cam Christie
541,1642354,KJ Simpson
542,1642355,Bronny James
543,1642358,AJ Johnson
544,1642359,Pacôme Dadiet
545,1642366,Quinten Post
546,1642367,Jonathan Mogbo
547,1642368,N'Faly Dante
548,1642377,Jaylen Wells
549,1642382,Branden Carlson
550,1642384,Isaiah Crawford
551,1642385,Cui Cui
552,1642389,Zyon Pullin
553,1642402,Enrique Freeman
554,1642403,Isaac Jones
555,1642419,Jamison Battle
556,1642422,Armel Traore
557,1642434,Riley Minix
558,1642439,Quincy Olivari
559,1642443,Jahmir Young
560,1642449,Tolu Smith
561,1642450,Daniss Jenkins
562,1642461,Spencer Jones
563,1642484,RayJ Dennis
564,1642502,Malevy Leons
565,1642505,Alex Ducas
566,1642530,Yuki Kawamura
