player_idx,player_id,name
104,1627742,Brandon Ingram
105,1627746,Skal Labissiere
106,1627747,Caris LeVert
107,1627749,Dejounte Murray
108,1627750,Jamal Murray
109,1627751,Jakob Poeltl
109,1627751,Jakob Poeltl
110,1627752,Taurean Prince
111,1627759,Jaylen Brown
112,1627763,Malcolm Brogdon
113,1627777,Georges Niang
114,1627780,Gary Payton II
115,1627783,Pascal Siakam
116,1627814,Damion Lee
117,1627824,Guerschon Yabusele
118,1627826,Ivica Zubac
119,1627827,Dorian Finney-Smith
120,1627832,Fred VanVleet
121,1627884,Derrick Jones Jr.
122,1627936,Alex Caruso
123,1628365,Markelle Fultz
124,1628366,Lonzo Ball
125,1628368,De'Aaron Fox
126,1628369,Jayson Tatum
127,1628370,Malik Monk
128,1628371,Jonathan Isaac
129,1628374,Lauri Markkanen
130,1628378,Donovan Mitchell
131,1628379,Luke Kennard
132,1628380,Zach Collins
133,1628381,John Collins
134,1628384,OG Anunoby
135,1628386,Jarrett Allen
136,1628389,Bam Adebayo
137,1628392,Isaiah Hartenstein
138,1628396,Tony Bradley
139,1628398,Kyle Kuzma
140,1628401,Derrick White
141,1628404,Josh Hart
142,1628408,PJ Dozier
143,1628415,Dillon Brooks
144,1628418,Thomas Bryant
145,1628420,Monte Morris
146,1628427,Vlatko Čančar
147,1628436,Luke Kornet
148,1628449,Chris Boucher
149,1628464,Daniel Theis
150,1628467,Maxi Kleber
151,1628470,Torrey Craig
152,1628960,Grayson Allen
153,1628963,Marvin Bagley III
154,1628964,Mo Bamba
155,1628969,Mikal Bridges
156,1628970,Miles Bridges
157,1628971,Bruce Brown
158,1628973,Jalen Brunson
159,1628975,Jevon Carter
160,1628976,Wendell Carter Jr.
161,1628978,Donte DiVincenzo
162,1628981,Bruno Fernando
163,1628983,Shai Gilgeous-Alexander
164,1628988,Aaron Holiday
165,1628989,Kevin Huerter
166,1628991,Jaren Jackson Jr.
167,1628995,Kevin Knox II
168,1628997,Caleb Martin
169,1628998,Cody Martin
170,1629001,De'Anthony Melton
171,1629003,Shake Milton
172,1629004,Svi Mykhailiuk
173,1629006,Josh Okogie
174,1629008,Michael Porter Jr.
175,1629011,Mitchell Robinson
176,1629012,Collin Sexton
177,1629013,Landry Shamet
178,1629014,Anfernee Simons
179,1629018,Gary Trent Jr.
180,1629020,Jarred Vanderbilt
181,1629021,Moritz Wagner
182,1629022,Lonnie Walker IV
183,1629023,P.J. Washington
184,1629026,Kenrich Williams
185,1629027,Trae Young
186,1629028,Deandre Ayton
187,1629029,Luka Dončić
188,1629048,Goga Bitadze
189,1629052,Oshae Brissett
190,1629056,Terence Davis
191,1629057,Robert Williams III
192,1629060,Rui Hachimura
193,1629098,Jack McVeigh
194,1629111,Jock Landale
195,1629130,Duncan Robinson
196,1629162,Jordan McLaughlin
197,1629216,Gabe Vincent
198,1629234,Drew Eubanks
199,1629312,Haywood Highsmith
200,1629599,Amir Coffey
201,1629610,DaQuan Jeffries
202,1629611,Terance Mann
203,1629614,Andrew Nembhard
204,1629618,Jalen Pickett
205,1629622,Max Strus
206,1629626,Bol Bol
207,1629627,Zion Williamson
208,1629628,RJ Barrett
209,1629629,Cam Reddish
210,1629630,Ja Morant
211,1629631,De'Andre Hunter
212,1629632,Coby White
213,1629634,Brandon Clarke
214,1629636,Darius Garland
215,1629637,Jaxson Hayes
216,1629638,Nickeil Alexander-Walker
217,1629639,Tyler Herro
218,1629640,Keldon Johnson
219,1629643,Chuma Okeke
220,1629645,Kevin Porter Jr.
221,1629646,Charles Bassey
222,1629650,Moses Brown
223,1629651,Nic Claxton
224,1629652,Luguentz Dort
225,1629655,Daniel Gafford
226,1629656,Quentin Grimes
227,1629659,Talen Horton-Tucker
228,1629660,Ty Jerome
229,1629661,Cameron Johnson
230,1629667,NA
231,1629669,Jaylen Nowell
232,1629673,Jordan Poole
233,1629674,Neemias Queta
234,1629675,Naz Reid
235,1629680,Matisse Thybulle
236,1629684,Grant Williams
237,1629723,John Konchar
238,1629726,Garrison Mathews
239,1629731,Dean Wade
240,1629750,Javonte Green
241,1630162,Anthony Edwards
242,1630163,LaMelo Ball
243,1630164,James Wiseman
244,1630165,Killian Hayes
245,1630166,Deni Avdija
246,1630167,Obi Toppin
247,1630168,Onyeka Okongwu
248,1630169,Tyrese Haliburton
249,1630170,Devin Vassell
250,1630171,Isaac Okoro
251,1630172,Patrick Williams
252,1630173,Precious Achiuwa
253,1630174,Aaron Nesmith
254,1630175,Cole Anthony
255,1630178,Tyrese Maxey
256,1630182,Josh Green
257,1630183,Jaden McDaniels
258,1630188,Jalen Smith
259,1630191,Isaiah Stewart
260,1630192,Zeke Nnaji
261,1630193,Immanuel Quickley
262,1630194,Paul Reed
263,1630198,Isaiah Joe
264,1630200,Tre Jones
265,1630201,Malachi Flynn
266,1630202,Payton Pritchard
267,1630205,Lamar Stevens
268,1630208,Nick Richards
269,1630214,Xavier Tillman
270,1630215,Jared Butler
271,1630217,Desmond Bane
272,1630222,Mason Jones
273,1630224,Jalen Green
274,1630227,Daishen Nix
275,1630228,Jonathan Kuminga
276,1630230,Naji Marshall
277,1630231,KJ Martin
278,1630241,Sam Merrill
279,1630243,Trevelin Queen
280,1630245,Ayo Dosunmu
281,1630249,Vít Krejčí
282,1630256,Jae'Sean Tate
283,1630264,Anthony Gill
284,1630283,Kylor Kelley
285,1630288,Jeff Dowtin Jr.
286,1630296,Braxton Key
287,1630311,Pat Spencer
288,1630314,Brandon Williams
289,1630322,Lindy Waters III
290,1630346,Matt Ryan
291,1630526,Jeremiah Robinson-Earl
292,1630527,Brandon Boston
292,1630527,Brandon Boston
293,1630528,Josh Christopher
294,1630529,Herbert Jones
295,1630530,Trey Murphy III
296,1630531,Jaden Springer
297,1630532,Franz Wagner
298,1630533,Ziaire Williams
299,1630534,Ochai Agbaji
300,1630537,Chris Duarte
301,1630538,Bones Hyland
302,1630539,Kai Jones
303,1630540,Miles McBride
304,1630541,Moses Moody
305,1630542,Marcus Bagley
306,1630543,Isaiah Jackson
307,1630544,Tre Mann
308,1630545,Terrence Shannon Jr.
309,1630548,Johnny Juzang
310,1630549,Day'Ron Sharpe
311,1630550,JT Thor
312,1630551,Justin Champagnie
313,1630552,Jalen Johnson
314,1630553,Keon Johnson
315,1630556,Kessler Edwards
316,1630557,Corey Kispert
317,1630558,Davion Mitchell
318,1630559,Austin Reaves
319,1630560,Cam Thomas
320,1630561,David Duke Jr.
321,1630567,Scottie Barnes
322,1630568,Luka Garza
323,1630570,Trendon Watford
324,1630572,Sandro Mamukelashvili
325,1630573,Sam Hauser
326,1630574,Ariel Hukporti
327,1630577,Julian Champagnie
328,1630578,Alperen Sengun
329,1630579,Jericho Sims
330,1630581,Josh Giddey
331,1630583,Santi Aldama
332,1630585,Marcus Garrett
333,1630590,Scotty Pippen Jr.
334,1630591,Jalen Suggs
335,1630592,Jalen Wilson
336,1630595,Cade Cunningham
337,1630596,Evan Mobley
338,1630598,Aaron Wiggins
339,1630600,Isaiah Mobley
340,1630604,E.J. Liddell
341,1630611,Gui Santos
342,1630618,D.J. Carton
343,1630623,Tyson Etienne
344,1630625,Dalano Banton
345,1630631,Jose Alvarado
346,1630639,A.J. Lawson
347,1630643,Jay Huff
348,1630644,Mac McClung
349,1630649,Stanley Umude
350,1630658,Colin Castleton
351,1630678,Terry Taylor
352,1630692,Jordan Goodwin
353,1630695,Micah Potter
354,1630696,Dru Smith
355,1630699,MarJon Beauchamp
356,1630700,Dyson Daniels
357,1630702,Jaden Hardy
358,1630703,Scoot Henderson
359,1630762,Phillip Wheeler
360,1630811,Keaton Wallace
361,1631093,Jaden Ivey
362,1631094,Paolo Banchero
363,1631095,Jabari Smith Jr.
364,1631096,Chet Holmgren
365,1631097,Bennedict Mathurin
366,1631098,Johnny Davis
367,1631099,Keegan Murray
368,1631101,Shaedon Sharpe
369,1631102,TyTy Washington Jr.
370,1631103,Malaki Branham
371,1631104,Blake Wesley
372,1631105,Jalen Duren
373,1631106,Tari Eason
374,1631107,Nikola Jović
375,1631108,Max Christie
376,1631109,Mark Williams
377,1631110,Jeremy Sochan
378,1631111,Wendell Moore Jr.
379,1631114,Jalen Williams
380,1631115,Orlando Robinson
381,1631116,Patrick Baldwin Jr.
382,1631117,Walker Kessler
383,1631119,Jaylin Williams
384,1631120,JD Davison
385,1631121,Bryce McGowens
386,1631123,Jamaree Bouyea
387,1631124,Julian Strawther
388,1631127,Harrison Ingram
389,1631128,Christian Braun
390,1631131,Oscar Tshiebwe
391,1631132,Christian Koloko
392,1631133,Jabari Walker
393,1631157,Ryan Rollins
394,1631159,Leonard Miller
395,1631165,Keon Ellis
396,1631166,Drew Timme
397,1631169,Josh Minott
398,1631170,Jaime Jaquez Jr.
399,1631172,Ousmane Dieng
400,1631197,Jared Rhoden
401,1631199,Ron Harper Jr.
402,1631200,Kris Murray
403,1631204,Marcus Sasser
404,1631207,Dalen Terry
405,1631209,Isaiah Wong
406,1631210,Jacob Toppin
407,1631212,Peyton Watson
408,1631213,Tyrese Martin
409,1631214,Alondes Williams
410,1631216,Caleb Houstan
411,1631217,Moussa Diabaté
412,1631218,Trayce Jackson-Davis
413,1631221,Collin Gillespie
414,1631222,Jake LaRavia
415,1631223,David Roddy
